Product_Code,Warehouse,Product_Category,Date,Order_Demand
Product_1581,Whse_C,Category_005,2012/1/10,2000
Product_1581,Whse_C,Category_005,2012/2/9,2000
Product_1581,Whse_C,Category_005,2012/2/13,5000
Product_2015,Whse_C,Category_005,2012/2/24,2000
Product_1581,Whse_C,Category_005,2012/2/29,5000
Product_1581,Whse_C,Category_005,2012/3/9,6000
Product_1581,Whse_C,Category_005,2012/3/15,10000
Product_1581,Whse_C,Category_005,2012/3/22,2000
Product_2015,Whse_C,Category_005,2012/3/26,1000
Product_1581,Whse_C,Category_005,2012/3/27,10000
Product_1581,Whse_C,Category_005,2012/3/28,4000
Product_1581,Whse_C,Category_005,2012/4/5,5000
Product_1581,Whse_C,Category_005,2012/4/6,10000
Product_1581,Whse_C,Category_005,2012/4/9,4000
Product_1581,Whse_C,Category_005,2012/4/20,1000
Product_1581,Whse_C,Category_005,2012/4/23,3000
Product_1581,Whse_C,Category_005,2012/5/4,20000
Product_1581,Whse_C,Category_005,2012/5/9,5000
Product_1581,Whse_C,Category_005,2012/5/23,5000
Product_2008,Whse_C,Category_005,2012/5/29,9000
Product_2008,Whse_C,Category_005,2012/5/29,1000
Product_2015,Whse_C,Category_005,2012/5/31,5000
Product_1581,Whse_C,Category_005,2012/6/7,5000
Product_1581,Whse_C,Category_005,2012/6/14,3000
Product_1581,Whse_C,Category_005,2012/6/15,5000
Product_2015,Whse_C,Category_005,2012/6/20,2000
Product_1581,Whse_C,Category_005,2012/7/3,4000
Product_2004,Whse_C,Category_005,2012/7/5,1000
Product_1581,Whse_C,Category_005,2012/7/9,1000
Product_1581,Whse_C,Category_005,2012/7/13,2000
Product_1581,Whse_C,Category_005,2012/7/18,1000
Product_1581,Whse_C,Category_005,2012/7/20,10000
Product_1581,Whse_C,Category_005,2012/7/23,6000
Product_1581,Whse_C,Category_005,2012/8/1,5000
Product_1581,Whse_C,Category_005,2012/8/6,5000
Product_2015,Whse_C,Category_005,2012/8/6,1000
Product_1581,Whse_C,Category_005,2012/8/8,1000
Product_1581,Whse_C,Category_005,2012/8/20,4000
Product_1581,Whse_C,Category_005,2012/8/21,5000
Product_1581,Whse_C,Category_005,2012/10/10,9000
Product_2015,Whse_C,Category_005,2012/10/11,2000
Product_2004,Whse_C,Category_005,2012/10/15,1000
Product_1581,Whse_C,Category_005,2012/10/19,4000
Product_1581,Whse_C,Category_005,2012/10/23,3000
Product_1581,Whse_C,Category_005,2012/10/24,5000
Product_1581,Whse_C,Category_005,2012/11/12,8000
Product_1581,Whse_C,Category_005,2012/11/23,8000
Product_2008,Whse_C,Category_005,2012/11/23,1000
Product_1581,Whse_C,Category_005,2012/11/28,3000
